Wall time,Step,Value
1585070040.1857302,5670,0.08033527433872223
1585071271.0659466,12042,0.5038312077522278
1585071907.4591782,12094,0.193802148103714
1585072499.2760255,12095,0.18916600942611694
1585073111.7021456,12181,0.254956990480423
1585073761.0106285,12182,0.21752823889255524
1585074363.0986505,12183,0.2064846009016037
1585077610.4300933,17760,0.53582763671875
1585078255.2693524,17761,0.5305455923080444
1585078899.1205473,17762,0.5231918692588806
1585079550.9049077,17763,0.5170819759368896
1585080202.369267,17764,0.5070769786834717
1585080854.663771,17765,0.5051011443138123
1585081508.1206412,17766,0.49880677461624146
1585083503.0700946,23489,0.6927380561828613
1585084182.9913068,23490,0.6860779523849487
1585084905.3935468,23491,0.6900753378868103
1585085625.332324,23492,0.6937786936759949
1585086310.3753057,23493,0.6974049210548401
1585087041.4868872,23494,0.6928331851959229
1585087757.6932266,23495,0.6879382729530334
1585089964.96195,29164,0.6350874304771423
1585090704.7364547,29165,0.6346858739852905
1585091407.2796717,29166,0.6376419067382812
1585092147.6796854,29167,0.6454670429229736
1585092844.320436,29168,0.6523044109344482
1585095379.0936027,34905,0.6958926320075989
1585096113.7867706,34906,0.6824493408203125
1585096855.5654204,34907,0.6742464900016785
1585097577.3074427,34908,0.6807345747947693
1585098294.7991166,34909,0.6961836218833923
1585099014.7488778,34910,0.7167120575904846
1585099751.570774,34911,0.7322008609771729
1585100511.1617312,34912,0.737339973449707
1585101240.775279,34913,0.7321735620498657
1585136230.7125735,40623,0.6960962414741516
1585136951.9055898,40624,0.6949357390403748
1585137698.3728514,40625,0.6883780360221863
1585138420.0743241,40626,0.6838153004646301
1585139146.096989,40627,0.6800767779350281
1585141241.4516294,46169,0.8175574541091919
1585142123.537077,46170,0.8184748291969299
1585142953.534896,46171,0.817611813545227
1585143803.1750476,46172,0.813772976398468
1585146398.4769742,51824,0.8017646074295044
1585147288.8596094,51825,0.7994051575660706
1585148143.893145,51826,0.7944238781929016
1585149022.0298204,51827,0.7893115282058716
1585149854.3454804,51828,0.7920829057693481
1585150687.1057675,51829,0.7941519021987915
1585151523.7323604,51830,0.7981463670730591
1585154064.736893,57530,0.758311927318573
1585154879.4394257,57531,0.7699872255325317
1585155729.299908,57532,0.7917308211326599
1585156550.4963236,57533,0.8139562010765076
1585157397.0947115,57534,0.827107310295105
1585158258.4201865,57535,0.8301750421524048
1585163834.561714,59671,0.8810505867004395
1585164677.113348,59672,0.8815511465072632
1585165512.047012,59673,0.8836259841918945
1585166369.5637367,59674,0.8857709765434265
1585167203.2337945,59675,0.8878617882728577
1585168038.7694397,59676,0.8897866010665894
1585168906.9282384,59677,0.8907333612442017
1585354416.2489507,61309,0.889762282371521
1585355284.464663,61310,0.8882542848587036
1585356131.2175395,61311,0.886983335018158
1585356971.7522967,61312,0.884956955909729
1585357784.5323496,61313,0.8862239718437195
1585358602.7734349,61314,0.8870041370391846
1585359441.4401839,61315,0.8871769905090332
1585360309.844317,61316,0.8868558406829834
1585361150.8039045,61317,0.8854113817214966
1585361959.9632072,61318,0.8841640949249268
1585400807.5889301,62806,0.8883517980575562
1585402392.5291412,64160,0.8898582458496094
1585403217.0621867,64161,0.8912574052810669
1585404063.0229342,64162,0.8898221850395203
1585426440.0263078,67381,0.880110502243042
1585427324.9202669,67382,0.8802430629730225
1585429731.5210416,68996,0.8817064762115479
1585430663.4842734,68997,0.8835791945457458
1585431575.8716738,68998,0.8838667273521423
1585433981.7932947,70624,0.8062002062797546
1585434897.025024,70625,0.8098421096801758
1585435781.363414,70626,0.8260331749916077
1585436704.3317885,70627,0.8399325609207153
